Designator,Mid X,Mid Y,Rotation,Layer
C1,22.86,25.183959,270.0,top
C2,40.64,25.4,270.0,top
C3,43.18,17.78,270.0,top
D1,78.07,34.285,90.0,top
D2,78.07,26.665,90.0,top
D3,43.18,35.56,180.0,top
D4,78.07,42.54,90.0,top
F1,33.02,9.9005,90.0,top
J1,27.94,2.54,90.0,top
J10,7.62,48.26,270.0,top
J11,7.62,5.715,90.0,top
J12,7.62,17.78,90.0,top
J13,85.655,10.175,180.0,top
J2,18.796,50.8,90.0,top
J3,50.8,2.54,90.0,top
J4,45.72,50.8,90.0,top
J5,73.66,2.54,90.0,top
J6,68.58,50.8,90.0,top
J7,93.98,7.62,180.0,top
J8,22.86,10.16,180.0,top
J9,7.62,30.48,90.0,top
Q1,31.425,33.02,90.0,top
R1,48.26,43.18,0.0,top
R2,73.66,40.64,180.0,top
R3,17.78,44.45,0.0,top
R4,73.66,20.32,180.0,top
R5,50.8,10.16,90.0,top
R6,38.1,10.16,0.0,top
R7,73.66,45.72,180.0,top
U2,53.34,21.24325,0.0,top
